Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm47,47,B,Blue1A,A,frc5715,False,30,0,0,5,0,1,5,9,6,2,0,10,0,2,10,16,0,0,9,21,5
2024isde1,qm,2024isde1_qm47,47,B,Blue2C,C,frc9303,False,30,0,0,5,0,1,5,9,6,2,0,10,0,2,10,16,0,0,9,21,5
2024isde1,qm,2024isde1_qm47,47,B,Blue3S,S,frc5990,False,30,0,0,5,0,1,5,9,6,2,0,10,0,2,10,16,0,0,9,21,5
2024isde1,qm,2024isde1_qm48,48,B,Blue1A,A,frc1577,False,27,0,0,5,0,1,5,7,4,1,0,5,0,1,5,9,0,0,6,14,6
2024isde1,qm,2024isde1_qm48,48,B,Blue2C,C,frc9738,False,27,0,0,5,0,1,5,7,4,1,0,5,0,1,5,9,0,0,6,14,6
2024isde1,qm,2024isde1_qm48,48,B,Blue3S,S,frc5135,False,27,0,0,5,0,1,5,7,4,1,0,5,0,1,5,9,0,0,6,14,6
2024isde1,qm,2024isde1_qm49,49,B,Blue1A,A,frc7067,True,75,1,1,0,0,4,20,26,10,4,1,20,2,5,22,32,5,1,19,52,12
2024isde1,qm,2024isde1_qm49,49,B,Blue2C,C,frc2230,True,75,1,1,0,0,4,20,26,10,4,1,20,2,5,22,32,5,1,19,52,12
2024isde1,qm,2024isde1_qm49,49,B,Blue3S,S,frc1690,True,75,1,1,0,0,4,20,26,10,4,1,20,2,5,22,32,5,1,19,52,12
2024isde1,qm,2024isde1_qm5,5,B,Blue1A,A,frc3083,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7
2024isde1,qm,2024isde1_qm5,5,B,Blue2C,C,frc5654,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7
2024isde1,qm,2024isde1_qm5,5,B,Blue3S,S,frc5951,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7
2024isde1,qm,2024isde1_qm50,50,B,Blue1A,A,frc1942,False,38,0,0,35,0,1,5,7,0,0,15,0,30,15,30,30,0,0,16,35,1
2024isde1,qm,2024isde1_qm50,50,B,Blue2C,C,frc3065,False,38,0,0,35,0,1,5,7,0,0,15,0,30,15,30,30,0,0,16,35,1
2024isde1,qm,2024isde1_qm50,50,B,Blue3S,S,frc9303,False,38,0,0,35,0,1,5,7,0,0,15,0,30,15,30,30,0,0,16,35,1
2024isde1,qm,2024isde1_qm51,51,B,Blue1A,A,frc3083,False,52,1,0,2,0,4,20,22,2,1,11,5,22,12,27,29,0,0,18,49,1
2024isde1,qm,2024isde1_qm51,51,B,Blue2C,C,frc6738,False,52,1,0,2,0,4,20,22,2,1,11,5,22,12,27,29,0,0,18,49,1
2024isde1,qm,2024isde1_qm51,51,B,Blue3S,S,frc4320,False,52,1,0,2,0,4,20,22,2,1,11,5,22,12,27,29,0,0,18,49,1
